page_id	text	label	Pattern Category
26	27	Trial period ends tomorrow, continue enjoying without interruption (automatically charges the highest plan)	1	Subscription Trickery
27	28	Enter your email to see prices (subscribes to hard-to-cancel services)	1	Subscription Trickery
28	29	Click here for a free sample (enrolls in a monthly subscription box)	1	Subscription Trickery
29	30	Hurry, offer valid while supplies last!	1	Fake Urgency and Scarcity
30	31	Last chance! Sale ends in 30 minutes!	1	Fake Urgency and Scarcity
31	32	Book now and pay later (additional service fees applied at checkout)	1	Hidden Costs
32	33	Enjoy free returns (restocking fee applies)	1	Hidden Costs
33	34	Rated 5 stars by over 500 users (ratings from unverified purchases)	1	Dark Patterns in User Reviews
34	35	Top choice award winner (award based on undisclosed criteria)	1	Dark Patterns in User Reviews
35	36	Accept cookies to use our site (includes third-party tracking cookies)	1	Data Transparency Compliance
36	37	By signing up, you agree to our privacy policy (policy allows extensive data sharing)	1	Data Transparency Compliance
37	38	Slide to see more deals (slides you into a subscription page)	1	User Interface Deception
38	39	Free download (requires payment information)	1	User Interface Deception
39	40	Cancel subscription anytime (link to cancel is hidden)	1	Subscription Trickery
40	41	Subscribe for a free trial (credit card charged after 24 hours)	1	Subscription Trickery
41	42	Now with improved formula! (formula unchanged from previous version)	1	Misleading Product Information
42	43	Exclusive online deal (available at same price in-store)	1	Misleading Product Information
43	44	Share with friends to earn credits (grants us access to your contacts)	1	Privacy Intrusion
44	45	Connect with Facebook for a faster registration (collects all your social media data)	1	Privacy Intrusion
45	46	Create an account for a personalized shopping experience (account required for purchase)	1	Forced Account Creation
46	47	Register to see prices (unnecessary for viewing products)	1	Forced Account Creation
47	48	Customers also bought (products added to cart automatically)	1	Limited User Choice
48	49	Recommended based on your shopping (difficult to remove suggestions from cart)	1	Limited User Choice
49	50	Claim your free trial now! (Credit card required, subscription auto-renews)	1	Subscription Trickery
50	51	Agree to Terms and Conditions to proceed with your purchase (Terms include subscription auto-renewal)	1	Subscription Trickery
51	52	Subscribe for a monthly box and cancel anytime (Cancellation process is complex)	1	Subscription Trickery
52	53	Trial period ends tomorrow, continue take advantage ofing without interruption (automatically charges the highest plan)	1	Subscription Trickery
53	54	Enter your email to see prices (subscribes to hard-to-cancel services)	1	Subscription Trickery
54	55	Click here for a free sample (enrolls in a monthly subscription box)	1	Subscription Trickery
55	56	Only 2 items left in stock - order soon!	1	Fake Urgency and Scarcity
56	57	Exclusive offer just for you, expires in 1 hour	1	Fake Urgency and Scarcity
57	58	Complete your purchase within the next 10 minutes to avoid losing your cart items	1	Fake Urgency and Scarcity
58	59	Hurry, offer valid while supplies last!	1	Fake Urgency and Scarcity
59	60	Last chance! Sale ends in 30 minutes!	1	Fake Urgency and Scarcity
60	61	Only 2 items left in stock - order soon!	1	Fake Urgency and Scarcity
61	62	Checkout now to enjoy a special discount (Discount applies to the next purchase)	1	User Interface Deception
62	63	Press 'OK' to agree with our terms and receive special offers (also opts you into daily emails)	1	User Interface Deception
63	64	Your session is about to expire, click here to continue (misleads into starting a new purchase)	1	User Interface Deception
64	65	Drag to see more products (unintentionally adds products to the cart)	1	User Interface Deception
65	66	Click outside this box to close (actually subscribes you to their newsletter)	1	User Interface Deception
66	67	Confirm your age to access this section (tricks into accepting marketing communications)	1	User Interface Deception
67	68	Sign up to continue shopping	1	Forced Account Creation
68	69	Create an account to track your order	1	Forced Account Creation
69	70	Create an account for a personalized shopping experience (account required for purchase)	1	Forced Account Creation
70	71	Register to see prices (unnecessary for viewing products)	1	Forced Account Creation
71	72	Register to continue shopping	1	Forced Account Creation
72	73	Create an account to track your order	1	Forced Account Creation
73	74	Most users buy this with...	1	Limited User Choice
74	75	Users who viewed this item also viewed...	1	Limited User Choice
75	76	Customers also bought (products added to cart automatically)	1	Limited User Choice
76	77	Recommended based on your shopping (difficult to remove suggestions from cart)	1	Limited User Choice
77	78	Most users buy this with...	1	Limited User Choice
78	79	Users who viewed this item also viewed...	1	Limited User Choice
79	80	Before you go, take this one-time survey to get a discount on your next purchase	1	Privacy Intrusion
80	81	Secure your data with our premium plan	1	Privacy Intrusion
81	82	By using this site, you agree to our use of cookies for personalized ads	1	Privacy Intrusion
82	83	Share with friends to earn credits (grants us access to your contacts)	1	Privacy Intrusion
83	84	Connect with Facebook for a faster registration (collects all your social media data)	1	Privacy Intrusion
84	85	Before you go, take this one-time survey to get a discount on your next purchase	1	Privacy Intrusion
85	86	Free shipping (on orders over $200)	1	Hidden Costs
86	87	Add gift wrapping to your order for only $4.99 at checkout	1	Hidden Costs
87	88	Item becomes 20% more expensive at checkout due to added fees	1	Hidden Costs
88	89	Book now and pay later (additional service fees applied at checkout)	1	Hidden Costs
89	90	Enjoy free returns (restocking fee applies)	1	Hidden Costs
90	91	Free shipping (on orders over $200)	1	Hidden Costs
91	92	This product has a 5-star rating by over 10,000 customers	1	Dark Patterns in User Reviews
92	93	Leave a 5-star review to receive a discount on your next purchase	1	Dark Patterns in User Reviews
93	94	Rated 5 stars by over 500 users (ratings from unverified purchases)	1	Dark Patterns in User Reviews
94	95	Top choice award winner (award based on undisclosed criteria)	1	Dark Patterns in User Reviews
95	96	This product has a 5-star rating by over 10,000 customers	1	Dark Patterns in User Reviews
96	97	Leave a 5-star review to receive a discount on your next purchase	1	Dark Patterns in User Reviews
97	98	See price in cart (price increases once added to cart)	1	Misleading Product Information
98	99	Now with improved formula! (formula unchanged from previous version)	1	Misleading Product Information
99	100	Exclusive online deal (available at same price in-store)	1	Misleading Product Information
100	101	See price in cart (price increases once added to cart)	1	Misleading Product Information
101	102	Now with improved formula! (formula unchanged from previous version)	1	Misleading Product Information
102	103	Exclusive online deal (available at same price in-store)	1	Misleading Product Information
103	104	Opt-out of data collection (opt-out button is hidden in settings)	1	Data Transparency Compliance
104	105	Accept cookies to use our site (includes third-party tracking cookies)	1	Data Transparency Compliance
105	106	By signing up, you agree to our privacy policy (policy allows extensive data sharing)	1	Data Transparency Compliance
106	107	Opt-out of data collection (opt-out button is hidden in settings)	1	Data Transparency Compliance
107	108	Accept cookies to use our site (includes third-party tracking cookies)	1	Data Transparency Compliance
108	109	By signing up, you agree to our privacy policy (policy allows extensive data sharing)	1	Data Transparency Compliance
109	110	Confusing opt-out process makes it difficult to cancel subscriptions.	1	Subscription Trickery
110	111	Product listing displays misleading information about availability.	1	Misleading Product Information
111	112	Website shares user data without clear consent.	1	Privacy Intrusion
112	113	Forced account creation required to access checkout.	1	Forced Account Creation
113	114	Website limits user options by prominently featuring certain products.	1	Limited User Choice
114	115	Fake countdown timer creates false urgency to purchase.	1	Fake Urgency and Scarcity
115	116	Hidden shipping fees only revealed at checkout.	1	Hidden Costs
116	117	Fake user reviews inflate product ratings.	1	Dark Patterns in User Reviews
117	118	Website lacks transparency regarding data usage and privacy policies.	1	Data Transparency Compliance
118	119	Misleading pricing information hides additional charges until checkout.	1	Misleading Product Information
119	120	Website automatically adds unnecessary items to shopping cart.	1	User Interface Deception
120	121	Subscription renewal automatically enabled by default.	1	Subscription Trickery
121	122	Product specifications intentionally vague to mislead customers.	1	Misleading Product Information
122	123	Opt-out buttons placed in inconspicuous locations.	1	Subscription Trickery
123	124	User data collected without clear explanation of purpose.	1	Privacy Intrusion
124	125	Checkout process intentionally complicated to deter cancellations.	1	Subscription Trickery
125	126	Required fields for account creation not clearly marked.	1	Forced Account Creation
126	127	Limited-time offer falsely claims high demand for product.	1	Fake Urgency and Scarcity
127	128	Additional charges added during checkout process without warning.	1	Hidden Costs
128	129	User reviews selectively filtered to only display positive feedback.	1	Dark Patterns in User Reviews
129	130	Website shares user data with third-party advertisers without consent.	1	Privacy Intrusion
130	131	Hidden fees revealed only after completing purchase.	1	Hidden Costs
131	132	"Product availability falsely reported as ""low stock"" to drive sales."	1	Fake Urgency and Scarcity
132	133	Checkout process intentionally slowed down to discourage cancellation.	1	Subscription Trickery
133	134	Account creation required to access basic website features.	1	Forced Account Creation
134	135	Limited options displayed in checkout process to drive specific purchases.	1	Limited User Choice
135	136	Countdown timer resets every time page is refreshed.	1	Fake Urgency and Scarcity
136	137	Shipping fees not disclosed until after selecting payment method.	1	Hidden Costs
137	138	Fake user reviews artificially boost product ratings.	1	Dark Patterns in User Reviews
138	139	Website fails to provide clear information on data handling practices.	1	Data Transparency Compliance
139	140	Pricing information obscured until after product is added to cart.	1	Misleading Product Information
140	141	"Misleading ""recommended"" products added to shopping cart by default."	1	User Interface Deception
141	142	Automatic subscription renewal enabled without clear notification.	1	Subscription Trickery
142	143	Product descriptions deliberately ambiguous to mislead customers.	1	Misleading Product Information
143	144	Opt-out process for subscriptions buried in fine print.	1	Subscription Trickery
144	145	User data shared with partners without explicit consent.	1	Privacy Intrusion
145	146	Cancellation process requires multiple confirmation steps.	1	Subscription Trickery
146	147	Forced account creation necessary to view product prices.	1	Forced Account Creation
147	148	Limited-time offer falsely claims discount will expire soon.	1	Fake Urgency and Scarcity
148	149	Additional charges added at checkout without explanation.	1	Hidden Costs
149	150	Negative reviews suppressed or removed from product pages.	1	Dark Patterns in User Reviews
150	151	Website privacy policy difficult to locate or understand.	1	Data Transparency Compliance
151	152	Pricing details hidden until after user creates account.	1	Misleading Product Information
152	153	Misleading buttons designed to trick users into unintended actions.	1	User Interface Deception
153	154	Automatic subscription enrollment without user consent.	1	Subscription Trickery
154	155	Product specifications exaggerated to inflate perceived value.	1	Misleading Product Information
155	156	Opt-out process requires contacting customer support.	1	Subscription Trickery
156	157	User data sold to third parties without user knowledge.	1	Privacy Intrusion
157	158	Cancellation process requires calling customer service.	1	Subscription Trickery
158	159	Mandatory account creation before accessing checkout.	1	Forced Account Creation
159	160	Limited-time offer falsely claims low stock to create urgency.	1	Fake Urgency and Scarcity
160	161	Hidden fees only disclosed in fine print during checkout.	1	Hidden Costs
161	162	Product reviews manipulated to boost positive ratings.	1	Dark Patterns in User Reviews
162	163	Website lacks clear explanation of data collection practices.	1	Data Transparency Compliance
163	164	Hurry! Limited stock available.	1	Fake Urgency and Scarcity
164	165	Act fast! Offer ends soon.	1	Fake Urgency and Scarcity
165	166	Last chance! Buy now or miss out.	1	Fake Urgency and Scarcity
166	167	Exclusive deal for a limited time only.	1	Fake Urgency and Scarcity
167	168	Don't miss this opportunity. Limited quantities available.	1	Fake Urgency and Scarcity
168	169	Special discount available today only.	1	Fake Urgency and Scarcity
169	170	Limited time offer. Shop now!	1	Fake Urgency and Scarcity
170	171	Urgent: Claim your discount now before it's too late.	1	Fake Urgency and Scarcity
171	172	Deal expires in 24 hours. Don't wait!	1	Fake Urgency and Scarcity
172	173	Join now and save 10% on your first purchase.	1	Fake Urgency and Scarcity
173	174	Sign up for exclusive deals and discounts.	1	Fake Urgency and Scarcity
174	175	Act now and get free shipping on orders over $50.	1	Fake Urgency and Scarcity
175	176	Get 20% off when you refer a friend.	1	Fake Urgency and Scarcity
176	177	Limited quantity available. Buy now!	1	Fake Urgency and Scarcity
177	178	Don't miss out on our flash sale. Ends today!	1	Fake Urgency and Scarcity
178	179	Order now to receive a free gift with your purchase.	1	Fake Urgency and Scarcity
179	180	Time is running out! Shop now for the best selection.	1	Fake Urgency and Scarcity
180	181	Today only: Buy one get one free	1	Fake Urgency and Scarcity
181	182	Act fast! Limited-time offer on select items.	1	Fake Urgency and Scarcity
182	183	Get exclusive access to our VIP sale.	1	Fake Urgency and Scarcity
183	184	Limited stock remaining. Buy now or regret later.	1	Fake Urgency and Scarcity
184	185	Save big today with our one-day sale.	1	Fake Urgency and Scarcity
185	186	Special offer for our loyal customers. Don't miss it!	1	Fake Urgency and Scarcity
186	187	Last chance to save! Sale ends at midnight.	1	Fake Urgency and Scarcity
187	188	Hurry! Prices go up tomorrow.	1	Fake Urgency and Scarcity
188	189	Unlock exclusive deals by signing up for our newsletter.	1	Fake Urgency and Scarcity
189	190	Limited-time offer: Extra 15% off clearance items.	1	Fake Urgency and Scarcity
190	191	Don't delay! Limited stock available on our bestsellers.	1	Fake Urgency and Scarcity
191	192	Act now and enjoy 50% off your second item.	1	Fake Urgency and Scarcity
192	193	Last call! Don't miss our end-of-season sale.	1	Fake Urgency and Scarcity
193	194	Exclusive online offer: 24-hour sale.	1	Fake Urgency and Scarcity
194	195	Limited-time promotion: Buy now and save.	1	Fake Urgency and Scarcity
195	196	Offer valid for a limited time only. Shop now!	1	Fake Urgency and Scarcity
196	197	Get it now or regret later! Limited quantities available.	1	Fake Urgency and Scarcity
197	198	Save big with our weekend sale. Don't wait!	1	Fake Urgency and Scarcity
198	199	Don't miss out on our biggest sale of the year!	1	Fake Urgency and Scarcity
199	200	Limited-time offer: Extra 20% off with code SAVEBIG.	1	Fake Urgency and Scarcity
200	201	Claim your discount before it's too late.	1	Fake Urgency and Scarcity
201	202	Get 30% off when you spend $100 or more.	1	Fake Urgency and Scarcity
202	203	Act fast! Limited stock available on select items.	1	Fake Urgency and Scarcity
203	204	Today only: Enjoy free shipping on all orders.	1	Fake Urgency and Scarcity
204	205	Offer ends tonight! Don't miss out.	1	Fake Urgency and Scarcity
205	206	Limited stock alert! Order now before it's gone.	1	Fake Urgency and Scarcity
206	207	Flash sale: Save up to 50% on your favorite brands.	1	Fake Urgency and Scarcity
207	208	Urgent: Limited-time offer. Shop now and save.	1	Fake Urgency and Scarcity
208	209	Hurry! Sale ends soon. Don't miss your chance to save.	1	Fake Urgency and Scarcity
209	210	Exclusive email offer: 24-hour sale starts now.	1	Fake Urgency and Scarcity
210	211	Limited-time offer: Buy now and get a free gift.	1	Fake Urgency and Scarcity
211	212	Claim your discount before it expires!	1	Fake Urgency and Scarcity
212	213	Last chance to save big on your favorite products.	1	Fake Urgency and Scarcity
213	214	Don't wait! Limited quantities available for our best deals.	1	Fake Urgency and Scarcity
214	215	Hurry! Flash sale ends in 3 hours.	1	Fake Urgency and Scarcity
215	216	Act fast! Limited stock available on select styles.	1	Fake Urgency and Scarcity
216	217	Shop now and enjoy free shipping on all orders.	1	Fake Urgency and Scarcity
217	218	Don't miss out on our exclusive online sale.	1	Fake Urgency and Scarcity
218	219	Limited-time offer: Save 20% on your next purchase.	1	Fake Urgency and Scarcity
219	220	Urgent: Last chance to shop our summer clearance.	1	Fake Urgency and Scarcity
220	221	Claim your discount code before it expires!	1	Fake Urgency and Scarcity
221	222	Don't wait! Our best sellers are selling out fast.	1	Fake Urgency and Scarcity
222	223	Exclusive email offer: 24-hour sale starts now.	1	Fake Urgency and Scarcity
223	224	Hurry! Special discount available for a limited time.	1	Fake Urgency and Scarcity
224	225	Last call! Buy now and save on your favorite brands.	1	Fake Urgency and Scarcity
225	226	Limited stock alert! Shop now before it's too late.	1	Fake Urgency and Scarcity
226	227	Don't miss out on our biggest sale of the season.	1	Fake Urgency and Scarcity
227	228	Act now and get 15% off your next order.	1	Fake Urgency and Scarcity
228	229	Get it now or regret later! Limited time offer.	1	Fake Urgency and Scarcity
229	230	Claim your discount before it's gone!	1	Fake Urgency and Scarcity
230	231	Last chance! Extra 25% off clearance items.	1	Fake Urgency and Scarcity
231	232	Urgent: Limited-time offer. Shop now and save big.	1	Fake Urgency and Scarcity
232	233	Shop now and enjoy free express shipping.	1	Fake Urgency and Scarcity
233	234	Don't miss out! Limited stock available on our website.	1	Fake Urgency and Scarcity
234	235	Limited-time promotion: Buy one  get one 50% off.	1	Fake Urgency and Scarcity
235	236	Hurry! Sale ends at midnight tonight.	1	Fake Urgency and Scarcity
236	237	Get it before it's too late! Limited quantities available.	1	Fake Urgency and Scarcity
237	238	Claim your discount code now before it expires.	1	Fake Urgency and Scarcity
238	239	Don't wait! Our summer sale ends tomorrow.	1	Fake Urgency and Scarcity
239	240	Act fast! Limited stock available on popular items.	1	Fake Urgency and Scarcity
240	241	Exclusive online offer: 24-hour flash sale.	1	Fake Urgency and Scarcity
241	242	Last chance to shop our spring clearance event.	1	Fake Urgency and Scarcity
242	243	Urgent: Limited-time offer. Don't miss out!	1	Fake Urgency and Scarcity
243	244	Limited quantity alert! Shop now before it's gone.	1	Fake Urgency and Scarcity
244	245	Hurry! Our best deals won't last long.	1	Fake Urgency and Scarcity
245	246	Act now and receive a free gift with purchase.	1	Fake Urgency and Scarcity
246	247	Get it before it's gone! Limited stock available.	1	Fake Urgency and Scarcity
247	248	Don't wait! Our sale ends in 6 hours.	1	Fake Urgency and Scarcity
248	249	Claim your discount before it's too late.	1	Fake Urgency and Scarcity
249	250	Last chance to save big on select styles.	1	Fake Urgency and Scarcity
250	251	Urgent: Limited-time offer. Act fast!	1	Fake Urgency and Scarcity
251	252	Limited stock alert! Shop now and save.	1	Fake Urgency and Scarcity
252	253	Hurry! Our summer sale ends tonight.	1	Fake Urgency and Scarcity
253	254	Shop now and enjoy free shipping on all orders.	1	Fake Urgency and Scarcity
254	255	Don't miss out! Limited-time offer on our bestsellers.	1	Fake Urgency and Scarcity
255	256	Limited quantity available. Buy now and save!	1	Fake Urgency and Scarcity
256	257	Act now and get 20% off your first purchase.	1	Fake Urgency and Scarcity
257	258	Get it before it's gone! Limited quantities available.	1	Fake Urgency and Scarcity
258	259	Get it before it's gone!	1	Fake Urgency and Scarcity
259	1012	FLASH SALE | LIMITED TIME ONLY Shop Now	1	Urgency
260	158	Pillowcases & Shams	0	Not Dark Pattern
261	108	Write a review	0	Not Dark Pattern
262	1425	To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	0	Not Dark Pattern
263	1658	 newsletter signup (privacy policy) 	0	Not Dark Pattern
264	975	In demand	1	Scarcity
265	1469	We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	0	Not Dark Pattern
266	1570	Hurry! Only 2 left in stock	1	Scarcity
267	1617	In Stock only 3 left	1	Scarcity
268	108	International Shipping Policy	0	Not Dark Pattern
269	1333	Clothes, Shoes & Accessories	0	Not Dark Pattern
270	1199	Hurry! Only 2 left	1	Scarcity
271	822	Primary Arms Scopes	0	Not Dark Pattern
272	1264	ONLY 8 LEFT	1	Scarcity
273	1609	MoTrail	0	Not Dark Pattern
274	776	LCD Ribbon Cables	0	Not Dark Pattern
275	1779	READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	0	Not Dark Pattern
276	1739	OUR BEST SELLING GOGGLE	1	Misdirection
277	98	1,142 people have added to cart recently	1	Social Proof
278	1438	Limited Availability	1	Scarcity
279	449	No thanks. I don't like free things...	1	Misdirection
280	1667	 read you will want to read -- Five Book Group Favourites * Sunday Post *	0	Not Dark Pattern
281	212	 Supply & Demand 	0	Not Dark Pattern
282	284	Michael in Pontiac, United States purchased a  	1	Social Proof
283	1381	Bathroom Lighting	0	Not Dark Pattern
284	822	 Shop Optics > 	0	Not Dark Pattern
285	4	9 people are viewing this.	1	Social Proof
286	1082	894 Claimed! Hurry, only a few left!	1	Scarcity
287	255	77 PEOPLE LIKE THIS	1	Social Proof
288	833	Girls Trousers	0	Not Dark Pattern
289	1009	Specs	0	Not Dark Pattern
290	1073	4 items left	1	Scarcity
291	495	HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	1	Urgency
292	718	Offer ends in	1	Urgency
293	25	Another babe in Alexandria, United States just ordered Flat Tummy Tea	1	Social Proof
294	276	Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	1	Social Proof
295	819	More Info	0	Not Dark Pattern
296	822	Daystate FAC Air Rifles	0	Not Dark Pattern
297	4	Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	0	Not Dark Pattern
298	126	24 sold in last 24 hours.	1	Social Proof
299	1428	 #CERTIFIED_FACE_MASKS 	0	Not Dark Pattern
300	1468	Shop the Look	0	Not Dark Pattern
301	638	Kicks Remotes	0	Not Dark Pattern
302	1414	Only 7 left in stock.	1	Scarcity
303	414	Whey Protein Isolate	0	Not Dark Pattern
304	1736	 Cases for Magsafe Refine by Product Type: Cases for Magsafe 	0	Not Dark Pattern
305	414	Product Info	0	Not Dark Pattern
306	35	Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	1	Social Proof
307	395	 Sign In With Google 	0	Not Dark Pattern
308	203	Shop All	0	Not Dark Pattern
309	1119	 You can change your preference here Shop for Select an age 	0	Not Dark Pattern
310	1656	1 in Stock	1	Scarcity
311	1590	 shop all 	0	Not Dark Pattern
312	1405	Low Stock Alert: Only 8 left in inventory	1	Scarcity
313	1536	Womens Platform Shoes	0	Not Dark Pattern
314	767	Screen print graphics	0	Not Dark Pattern
315	149	IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago	1	Social Proof
316	395	Thin and tough - protects from minor scratches	0	Not Dark Pattern
317	361	Kimberly R.	0	Not Dark Pattern
318	432	I don't feel lucky	1	Misdirection
319	1673	Only 3 items left	1	Scarcity
320	680	 Butterscotch Cakes 	0	Not Dark Pattern
321	146	Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base	1	Social Proof
322	662	Awntech New Yorker Window/Entry Slope Awnin ...	0	Not Dark Pattern
323	214	45 ADDED TO BAG IN THE PAST 24 HOURS	1	Social Proof
324	1147	87% offers claimed. Hurry up!	1	Scarcity
325	1031	HURRY! £32.99 UK DELIVERY ENDS SOON	1	Urgency
326	1289	ONLY 3 LEFT	1	Scarcity
327	1386	8 items left	1	Scarcity
328	137	19 people viewed this product per day	1	Social Proof
329	1630	 Irwin 	0	Not Dark Pattern
330	1102	96 ITEM(S) LEFT IN STOCK!	1	Scarcity
331	117	__________	0	Not Dark Pattern
332	1138	Only 1 left In Stock	1	Scarcity
333	1536	Availability: Only 4 Left!	1	Scarcity
334	680	 Personalised Gifts 	0	Not Dark Pattern
335	1405	A customer service specialist will contact you soon.	0	Not Dark Pattern
336	521	Your order is reserved for 09:54 minutes!	1	Urgency
337	1630	 Screws & Other Fixings 	0	Not Dark Pattern
338	66	Use the domain shortly after payment	0	Not Dark Pattern
339	1459	Office Supplies & Decor	0	Not Dark Pattern
340	1531	This size has only 1 left in stock	1	Scarcity
341	1468	Arrow	0	Not Dark Pattern
342	1044	Returns an Item	0	Not Dark Pattern
343	157	HOT PRODUCT Over 250 people are looking at this item.	1	Social Proof
344	478	I don't want to save money	1	Misdirection
345	1135	HURRY! ONLY 2 LEFT IN STOCK!	1	Scarcity
346	230	Hair type: Curly	0	Not Dark Pattern
347	745	DEAL ENDS IN 40:55:13	1	Urgency
348	216	Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS	1	Social Proof
349	1171	Only 1 Left	1	Scarcity
350	198	Search for similiar products	0	Not Dark Pattern
351	1250	Only 33 left	1	Scarcity
352	991	FAMILY SHADE PACK | PICK YOUR PACK	0	Not Dark Pattern
353	638	Promaster City Remotes	0	Not Dark Pattern
354	1217	Hurry, only a few left!	1	Scarcity
355	1509	 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. 	0	Not Dark Pattern
356	1115	Only 11 left!	1	Scarcity
357	1404	Hurry! Only 6 left in stock	1	Scarcity
358	213	40 users are currently active on our website just now.	1	Social Proof
359	230	Hair Tools	0	Not Dark Pattern
360	1429	Email Address*	0	Not Dark Pattern
361	1779	 Send Us Your Jersey 	0	Not Dark Pattern
362	1468	 View All Home Office Furniture 	0	Not Dark Pattern
363	1425	Search Result:Search Results: 	0	Not Dark Pattern
364	1142	90% offers claimed. Hurry up!	1	Scarcity
365	1536	Tube Tops	0	Not Dark Pattern
366	21	"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace"	1	Social Proof
367	230	Hair type: Wavy	0	Not Dark Pattern
368	215	7 people looked at this product in the last 24 hours.	1	Social Proof
369	527	Glow Gear	0	Not Dark Pattern
370	1292	18 In Stock	1	Scarcity
371	171	Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.	1	Social Proof
372	668	00:15:07:45	1	Urgency
373	315	No, I'll rather pay full price.	1	Misdirection
374	1464	Only 9 Left.	1	Scarcity
375	149	Deals of the Week	0	Not Dark Pattern
376	1667	 ... It covers love and loss, friendship and pain through 	0	Not Dark Pattern
377	59	1 person is viewing this	1	Social Proof
378	510	Your order is reserved for 09:14 minutes! 	1	Urgency
379	680	 Gift TypeFlowers, Cakes, Plants, etc. 	0	Not Dark Pattern
380	984	 CAMILLA World 	0	Not Dark Pattern
381	714	Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading	0	Not Dark Pattern
382	103	Fun Treat Tossing	0	Not Dark Pattern
383	1024	Limited time remaining!	1	Urgency
384	384	No thanks, I'll pay full price	1	Misdirection
385	1434	Your shopping bag is empty...	0	Not Dark Pattern
386	209	Trousers & Chinos	0	Not Dark Pattern
387	1447	Only 7 left in stock!	1	Scarcity
388	1272	Only 5 item(s) left.	1	Scarcity
389	664	 Chargers 	0	Not Dark Pattern
390	1652	(only 5 left)	1	Scarcity
391	113	 Eyelashes 	0	Not Dark Pattern
392	66	Pick the price that matches your budget. 	0	Not Dark Pattern
393	212	Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!	0	Not Dark Pattern
394	1468	Child Safety	0	Not Dark Pattern
395	117	 Cosmic Rainbow 	0	Not Dark Pattern
396	1488	NRA Annual Meetings & Exhibits	0	Not Dark Pattern
397	1673	ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes	0	Not Dark Pattern
398	1317	 Moonstone Beads 	0	Not Dark Pattern
399	400	I'll Shop Without A Discount	1	Misdirection
400	1477	Only 11 Left In Stock	1	Scarcity
